STT,Mã CK,Sàn
111,FMC,HOSE
112,FPT,HOSE
113,FRT,HOSE
114,FTM,HOSE
115,FTS,HOSE
116,FUCTVGF2,HOSE
117,FUCVREIT,HOSE
118,FUEMAV30,HOSE
119,FUESSV30,HOSE
120,FUESSV50,HOSE
121,FUESSVFL,HOSE
122,FUEVFVND,HOSE
123,FUEVN100,HOSE
124,GAB,HOSE
125,GAS,HOSE
126,GDT,HOSE
127,GEG,HOSE
128,GEX,HOSE
129,GIL,HOSE
130,GMC,HOSE
131,GMD,HOSE
132,GSP,HOSE
133,GTA,HOSE
134,GTN,HOSE
135,GVR,HOSE
136,HAG,HOSE
137,HAH,HOSE
138,HAI,HOSE
139,HAR,HOSE
140,HAS,HOSE
141,HAX,HOSE
142,HBC,HOSE
143,HCD,HOSE
144,HCM,HOSE
145,HDB,HOSE
146,HDC,HOSE
147,HDG,HOSE
148,HHP,HOSE
149,HHS,HOSE
150,HID,HOSE
151,HII,HOSE
152,HMC,HOSE
153,HNG,HOSE
154,HOT,HOSE
155,HPG,HOSE
156,HPX,HOSE
157,HQC,HOSE
158,HRC,HOSE
159,HSG,HOSE
160,HSL,HOSE
161,HT1,HOSE
162,HTI,HOSE
163,HTL,HOSE
164,HTN,HOSE
165,HTV,HOSE
166,HU1,HOSE
167,HU3,HOSE
168,HUB,HOSE
169,HVH,HOSE
170,HVN,HOSE
171,HVX,HOSE
172,IBC,HOSE
173,ICT,HOSE
174,IDI,HOSE
175,IJC,HOSE
176,ILB,HOSE
177,IMP,HOSE
178,ITA,HOSE
179,ITC,HOSE
180,ITD,HOSE
181,JVC,HOSE
182,KBC,HOSE
183,KDC,HOSE
184,KDH,HOSE
185,KHP,HOSE
186,KMR,HOSE
187,KOS,HOSE
188,KPF,HOSE
189,KSB,HOSE
190,L10,HOSE
191,LBM,HOSE
192,LCG,HOSE
193,LCM,HOSE
194,LDG,HOSE
195,LEC,HOSE
196,LGC,HOSE
197,LGL,HOSE
198,LHG,HOSE
199,LIX,HOSE
200,LM8,HOSE
201,LPB,HOSE
202,LSS,HOSE
203,MBB,HOSE
204,MCG,HOSE
205,MCP,HOSE
206,MDG,HOSE
207,MHC,HOSE
208,MIG,HOSE
209,MSB,HOSE
210,MSH,HOSE
211,MSN,HOSE
212,MWG,HOSE
213,NAF,HOSE
214,NAV,HOSE
215,NBB,HOSE
216,NCT,HOSE
217,NHA,HOSE
218,NHH,HOSE
219,NKG,HOSE
220,NLG,HOSE
221,NNC,HOSE
222,NT2,HOSE
223,NTL,HOSE
224,NVL,HOSE
225,NVT,HOSE
226,OCB,HOSE
227,OGC,HOSE
228,OPC,HOSE
229,PAC,HOSE
230,PC1,HOSE
231,PDN,HOSE
232,PDR,HOSE
233,PET,HOSE
234,PGC,HOSE
235,PGD,HOSE
236,PGI,HOSE
237,PHC,HOSE
238,PHR,HOSE
239,PIT,HOSE
240,PJT,HOSE
241,PLP,HOSE
242,PLX,HOSE
243,PME,HOSE
244,PMG,HOSE
245,PNC,HOSE
246,PNJ,HOSE
247,POM,HOSE
248,POW,HOSE
249,PPC,HOSE
250,PSH,HOSE
251,PTB,HOSE
252,PTC,HOSE
253,PTL,HOSE
254,PVD,HOSE
255,PVT,HOSE
256,PXI,HOSE
257,PXS,HOSE
258,QCG,HOSE
259,RAL,HOSE
260,RDP,HOSE
261,REE,HOSE
262,RIC,HOSE
263,ROS,HOSE
264,S4A,HOSE
265,SAB,HOSE
266,SAM,HOSE
267,SAV,HOSE
268,SBA,HOSE
269,SBT,HOSE
270,SBV,HOSE
271,SC5,HOSE
272,SCD,HOSE
273,SCR,HOSE
274,SCS,HOSE
275,SFC,HOSE
276,SFG,HOSE
277,SFI,HOSE
278,SGN,HOSE
279,SGR,HOSE
280,SGT,HOSE
281,SHA,HOSE
282,SHI,HOSE
283,SHP,HOSE
284,SII,HOSE
285,SJD,HOSE
286,SJF,HOSE
287,SJS,HOSE
288,SKG,HOSE
289,SMA,HOSE
290,SMB,HOSE
291,SMC,HOSE
292,SPM,HOSE
293,SRC,HOSE
294,SRF,HOSE
295,SSB,HOSE
296,SSI,HOSE
297,ST8,HOSE
298,STB,HOSE
299,STG,HOSE
300,STK,HOSE
301,SVC,HOSE
302,SVD,HOSE
303,SVI,HOSE
304,SVT,HOSE
305,SZC,HOSE
306,SZL,HOSE
307,TAC,HOSE
308,TBC,HOSE
309,TCB,HOSE
310,TCD,HOSE
311,TCH,HOSE
312,TCL,HOSE
313,TCM,HOSE
314,TCO,HOSE
315,TCR,HOSE
316,TCT,HOSE
317,TDC,HOSE
318,TDG,HOSE
319,TDH,HOSE
320,TDM,HOSE
321,TDP,HOSE
322,TDW,HOSE
323,TEG,HOSE
324,TGG,HOSE
325,THG,HOSE
326,TIP,HOSE
327,TIX,HOSE
328,TLD,HOSE
329,TLG,HOSE
330,TLH,HOSE
331,TMP,HOSE
332,TMS,HOSE
333,TMT,HOSE
334,TN1,HOSE
335,TNA,HOSE
336,TNC,HOSE
337,TNH,HOSE
338,TNI,HOSE
339,TNT,HOSE
340,TPB,HOSE
341,TPC,HOSE
342,TRA,HOSE
343,TRC,HOSE
344,TS4,HOSE
345,TSC,HOSE
346,TTA,HOSE
347,TTB,HOSE
348,TTE,HOSE
349,TTF,HOSE
350,TV2,HOSE
351,TVS,HOSE
352,TVT,HOSE
353,TYA,HOSE
354,UDC,HOSE
355,UIC,HOSE
356,VAF,HOSE
357,VCA,HOSE
358,VCB,HOSE
359,VCF,HOSE
360,VCG,HOSE
361,VCI,HOSE
362,VDP,HOSE
363,VDS,HOSE
364,VGC,HOSE
365,VHC,HOSE
366,VHM,HOSE
367,VIB,HOSE
368,VIC,HOSE
369,VID,HOSE
370,VIP,HOSE
371,VIS,HOSE
372,VIX,HOSE
373,VJC,HOSE
374,VMD,HOSE
375,VNE,HOSE
376,VNG,HOSE
377,VNL,HOSE
378,VNM,HOSE
379,VNS,HOSE
380,VOS,HOSE
381,VPB,HOSE
382,VPD,HOSE
383,VPG,HOSE
384,VPH,HOSE
385,VPI,HOSE
386,VPS,HOSE
387,VRC,HOSE
388,VRE,HOSE
389,VSC,HOSE
390,VSH,HOSE
391,VSI,HOSE
392,VTB,HOSE
393,VTO,HOSE
394,YBM,HOSE
395,YEG,HOSE
396,AAV,HNX
397,ABT,HNX
398,ACM,HNX
399,ADC,HNX
400,ALT,HNX
401,AMC,HNX
402,AME,HNX
403,AMV,HNX
404,API,HNX
405,APP,HNX
406,APS,HNX
407,ARM,HNX
408,ART,HNX
409,ASG,HNX
410,ATS,HNX
411,BAB,HNX
412,BAX,HNX
413,BBC,HNX
414,BBS,HNX
415,BCC,HNX
416,BCF,HNX
417,BDB,HNX
418,BED,HNX
419,BII,HNX
420,BKC,HNX
421,BLF,HNX
422,BNA,HNX
423,BPC,HNX
424,BSC,HNX
425,BSI,HNX
426,BST,HNX
427,BTS,HNX
428,BTW,HNX
429,BVS,HNX
430,BXH,HNX
431,C69,HNX
432,C92,HNX
433,CAG,HNX
434,CAN,HNX
435,CAP,HNX
436,CAV,HNX
437,CDN,HNX
438,CEO,HNX
439,CET,HNX
440,CIA,HNX
441,CJC,HNX
442,CKM,HNX
443,CKV,HNX
444,CLH,HNX
445,CLM,HNX
446,CMC,HNX
447,CMS,HNX
448,CPC,HNX
449,CSC,HNX
450,CTB,HNX
451,CTC,HNX
452,CTP,HNX
453,CTT,HNX
454,CTX,HNX
455,CVN,HNX
456,CX8,HNX
457,D11,HNX
458,DAD,HNX
459,DAE,HNX
460,DC2,HNX
461,DDG,HNX
462,DHP,HNX
463,DHT,HNX
464,DIH,HNX
465,DL1,HNX
466,DNC,HNX
467,DNM,HNX
468,DNP,HNX
469,DO3,HNX
470,DP3,HNX
471,DPC,HNX
472,DS3,HNX
473,DST,HNX
474,DTD,HNX
475,DTK,HNX
476,DVG,HNX
477,DXP,HNX
478,DXS,HNX
479,DZM,HNX
480,EBA,HNX
481,EBS,HNX
482,ECI,HNX
483,EID,HNX
484,EVS,HNX
485,FID,HNX
486,GDW,HNX
487,GIC,HNX
488,GKM,HNX
489,GLT,HNX
490,GMA,HNX
491,GMX,HNX
492,HAD,HNX
493,HAP,HNX
494,HAT,HNX
495,HBS,HNX
496,HCC,HNX
497,HCT,HNX
498,HDA,HNX
499,HEV,HNX
500,HGM,HNX
501,HHC,HNX
502,HHG,HNX
503,HJS,HNX
504,HKT,HNX
505,HLC,HNX
506,HLD,HNX
507,HMH,HNX
508,HOM,HNX
509,HPM,HNX
510,HTC,HNX
511,HTP,HNX
512,HUT,HNX
513,HVT,HNX
514,ICG,HNX
515,IDC,HNX
516,IDJ,HNX
517,IDV,HNX
518,INC,HNX
519,INN,HNX
520,ITQ,HNX
521,IVS,HNX
522,KDM,HNX
523,KHG,HNX
524,KHS,HNX
525,KKC,HNX
526,KLF,HNX
527,KMT,HNX
528,KSD,HNX
529,KSQ,HNX
530,KST,HNX
531,KTS,HNX
532,KTT,HNX
533,KVC,HNX
534,L14,HNX
535,L18,HNX
536,L35,HNX
537,L40,HNX
538,L43,HNX
539,L61,HNX
540,L62,HNX
541,LAF,HNX
542,LAS,HNX
543,LBE,HNX
544,LCD,HNX
545,LCS,HNX
546,LDP,HNX
547,LHC,HNX
548,LIG,HNX
549,LM7,HNX
550,LUT,HNX
551,MAC,HNX
552,MAS,HNX
553,MBG,HNX
554,MBS,HNX
555,MCC,HNX
556,MCF,HNX
557,MCO,HNX
558,MDC,HNX
559,MED,HNX
560,MEL,HNX
561,MHL,HNX
562,MIM,HNX
563,MKV,HNX
564,MST,HNX
565,MVB,HNX
566,NAG,HNX
567,NAP,HNX
568,NBC,HNX
569,NBP,HNX
570,NBW,HNX
571,NDN,HNX
572,NDX,HNX
573,NET,HNX
574,NFC,HNX
575,NHC,HNX
576,NRC,HNX
577,NSC,HNX
578,NSH,HNX
579,NST,HNX
580,NTH,HNX
581,NTP,HNX
582,NVB,HNX
583,NXT,HNX
584,OCH,HNX
585,ONE,HNX
586,PAN,HNX
587,PBP,HNX
588,PCE,HNX
589,PCG,HNX
590,PCT,HNX
591,PDB,HNX
592,PDC,HNX
593,PEN,HNX
594,PGN,HNX
595,PGS,HNX
596,PGT,HNX
597,PHN,HNX
598,PHP,HNX
599,PIA,HNX
600,PIC,HNX
601,PJC,HNX
602,PLC,HNX
603,PMB,HNX
604,PMC,HNX
605,PMP,HNX
606,PMS,HNX
607,POT,HNX
608,PPE,HNX
609,PPP,HNX
610,PPS,HNX
611,PPY,HNX
612,PRC,HNX
613,PRE,HNX
614,PSC,HNX
615,PSD,HNX
616,PSE,HNX
617,PSI,HNX
618,PSW,HNX
619,PTD,HNX
620,PTI,HNX
621,PTS,HNX
622,PV2,HNX
623,PVB,HNX
624,PVC,HNX
625,PVG,HNX
626,PVI,HNX
627,PVL,HNX
628,PVS,HNX
629,PXK,HNX
630,QBS,HNX
631,QHD,HNX
632,QST,HNX
633,QTC,HNX
634,RCL,HNX
635,S55,HNX
636,S99,HNX
637,SAF,HNX
638,SCI,HNX
639,SD2,HNX
640,SD4,HNX
641,SD5,HNX
642,SD6,HNX
643,SD9,HNX
644,SDA,HNX
645,SDC,HNX
646,SDG,HNX
647,SDN,HNX
648,SDT,HNX
649,SDU,HNX
650,SEB,HNX
651,SED,HNX
652,SFN,HNX
653,SGC,HNX
654,SGD,HNX
655,SGH,HNX
656,SHB,HNX
657,SHE,HNX
658,SHN,HNX
659,SHS,HNX
660,SIC,HNX
661,SJ1,HNX
662,SJE,HNX
663,SLS,HNX
664,SMN,HNX
665,SMT,HNX
666,SPI,HNX
667,SRA,HNX
668,SSC,HNX
669,SSM,HNX
670,STC,HNX
671,STP,HNX
672,SVN,HNX
673,SZB,HNX
674,TA9,HNX
675,TAR,HNX
676,TBX,HNX
677,TC6,HNX
678,TDI,HNX
679,TDN,HNX
680,TDT,HNX
681,TET,HNX
682,TFC,HNX
683,THB,HNX
684,THD,HNX
685,THI,HNX
686,THS,HNX
687,THT,HNX
688,TIG,HNX
689,TJC,HNX
690,TKC,HNX
691,TKU,HNX
692,TMB,HNX
693,TMC,HNX
694,TMX,HNX
695,TNG,HNX
696,TPH,HNX
697,TPP,HNX
698,TSB,HNX
699,TST,HNX
700,TTC,HNX
701,TTH,HNX
702,TTL,HNX
703,TTT,HNX
704,TTZ,HNX
705,TV3,HNX
706,TV4,HNX
707,TVB,HNX
708,TVC,HNX
709,TVD,HNX
710,TXM,HNX
711,UNI,HNX
712,V12,HNX
713,V21,HNX
714,VAT,HNX
715,VBC,HNX
716,VC1,HNX
717,VC2,HNX
718,VC3,HNX
719,VC6,HNX
720,VC7,HNX
721,VC9,HNX
722,VCC,HNX
723,VCM,HNX
724,VCS,HNX
725,VDL,HNX
726,VE1,HNX
727,VE2,HNX
728,VE3,HNX
729,VE4,HNX
730,VE8,HNX
731,VFG,HNX
732,VGP,HNX
733,VGS,HNX
734,VHE,HNX
735,VHL,HNX
736,VIE,HNX
737,VIF,HNX
738,VIG,HNX
739,VIT,HNX
740,VKC,HNX
741,VLA,HNX
742,VMC,HNX
743,VMS,HNX
744,VNC,HNX
745,VND,HNX
746,VNF,HNX
747,VNR,HNX
748,VNT,HNX
749,VSA,HNX
750,VSM,HNX
751,VTC,HNX
752,VTH,HNX
753,VTJ,HNX
754,VTL,HNX
755,VTV,HNX
756,VXB,HNX
757,WCS,HNX
758,WSS,HNX
759,X20,HNX
