Ticker,Năm,1. Doanh thu bán hàng và cung cấp dịch vụ,2. Các khoản giảm trừ doanh thu,3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10 = 01 - 02),4. Giá vốn hàng bán,5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ(20=10-11),6. Doanh thu hoạt động tài chính,7. Chi phí tài chính,- Trong đó: Chi phí lãi vay,"8. Phần lãi lỗ trong công ty liên doanh, liên kết",9. Chi phí bán hàng,10. Chi phí quản lý doanh nghiệp,11. Lợi nhuận thuần từ hoạt động kinh doanh{30=20+(21-22) + 24 - (25+26)},12. Thu nhập khác,13. Chi phí khác,14. Lợi nhuận khác(40=31-32),15. Tổng lợi nhuận kế toán trước thuế(50=30+40),16. Chi phí thuế TNDN hiện hành,17. Chi phí thuế TNDN hoãn lại,18. Lợi nhuận sau thuế thu nhập doanh nghiệp(60=50-51-52),19. Lợi nhuận sau thuế công ty mẹ,20. Lợi nhuận sau thuế công ty mẹ không kiểm soát,21. Lãi cơ bản trên cổ phiếu(*),22. Lãi suy giảm trên cổ phiếu (*)
AAT,2012.0,,,,,,,,,,,,,,,,,,,,,,,
AAT,2013.0,,,,,,,,,,,,,,,,,,,,,,,
AAT,2014.0,,,,,,,,,,,,,,,,,,,,,,,
AAT,2015.0,,,,,,,,,,,,,,,,,,,,,,,
AAT,2016.0,,,,,,,,,,,,,,,,,,,,,,,
AAT,2017.0,,,,,,,,,,,,,,,,,,,,,,,
AAT,2018.0,,,,,,,,,,,,,,,,,,,,,,,
AAT,2019.0,,,,,,,,,,,,,,,,,,,,,,,
AAT,2020.0,287098931865.0,,287098931865.0,251001713755.0,36097218110.0,415189461.0,10839135730.0,10545780722.0,,2568852966.0,9695885090.0,13408533785.0,5925830095.0,704251699.0,5221578396.0,18630112181.0,4591644389.0,,14038467792.0,14038467792.0,,403.0,403.0
AAT,2021.0,473174997084.0,,473174997084.0,415233741318.0,57941255766.0,1103229507.0,10628628929.0,10174216357.0,,2161163311.0,13202814249.0,33051878784.0,6394149014.0,2747456701.0,3646692313.0,36698571097.0,7884914838.0,,28813656259.0,28813656259.0,,820.0,820.0
AAV,2005.0,,,,,,,,,,,,,,,,,,,,,,,
AAV,2006.0,,,,,,,,,,,,,,,,,,,,,,,
AAV,2007.0,,,,,,,,,,,,,,,,,,,,,,,
AAV,2008.0,,,,,,,,,,,,,,,,,,,,,,,
AAV,2009.0,,,,,,,,,,,,,,,,,,,,,,,
AAV,2010.0,,,,,,,,,,,,,,,,,,,,,,,
AAV,2011.0,,,,,,,,,,,,,,,,,,,,,,,
AAV,2012.0,,,,,,,,,,,,,,,,,,,,,,,
AAV,2013.0,,,,,,,,,,,,,,,,,,,,,,,
AAV,2014.0,,,,,,,,,,,,,,,,,,,,,,,
AAV,2015.0,,,,,,,,,,,,,,,,,,,,,,,
AAV,2016.0,,,,,,,,,,,,,,,,,,,,,,,
AAV,2017.0,244738549346.0,,244738549346.0,203468064315.0,41270485031.0,175115367.0,2546360191.0,2546360191.0,,636435103.0,9149894772.0,29112910332.0,839938634.0,2016369451.0,-1176430817.0,27936479515.0,5682381194.0,,22254098321.0,19028537875.0,3225560446.0,1522.0,
AAV,2018.0,469405732945.0,,469405732945.0,406572261390.0,62833471555.0,2775799548.0,6168037276.0,3118992820.0,147584161.0,731597708.0,11085580788.0,47771639492.0,495423.0,371671241.0,-371175818.0,47400463674.0,10634583551.0,,36765880123.0,34149431990.0,2616448133.0,2637.0,
AAV,2019.0,548359366987.0,887137831.0,547472229156.0,490132700071.0,57339529085.0,2109286390.0,4232709515.0,4232489387.0,16669168.0,739587008.0,14191194919.0,40301993201.0,2549834.0,671463080.0,-668913246.0,39633079955.0,8828814037.0,,30804265918.0,29217425623.0,1586840295.0,1066.0,
AAV,2020.0,323663812902.0,6912000.0,323656900902.0,291938650993.0,31718249909.0,13816063231.0,4372532123.0,4372472807.0,,521050962.0,22298065284.0,18342664771.0,446429200.0,1020213518.0,-573784318.0,17768880453.0,3386588439.0,,14382292014.0,13342501587.0,1039790427.0,419.0,
AAV,2021.0,500844443428.0,,500844443428.0,449882976432.0,50961466996.0,4705364373.0,3278915163.0,3278915163.0,,531014951.0,12556908501.0,39299992754.0,11749951.0,745520337.0,-733770386.0,38566222368.0,8392574161.0,,30173648207.0,25079480434.0,5094167773.0,696.0,
ABS,2005.0,,,,,,,,,,,,,,,,,,,,,,,
ABS,2006.0,,,,,,,,,,,,,,,,,,,,,,,
ABS,2007.0,,,,,,,,,,,,,,,,,,,,,,,
ABS,2008.0,,,,,,,,,,,,,,,,,,,,,,,
ABS,2009.0,,,,,,,,,,,,,,,,,,,,,,,
ABS,2010.0,,,,,,,,,,,,,,,,,,,,,,,
ABS,2011.0,,,,,,,,,,,,,,,,,,,,,,,
ABS,2012.0,,,,,,,,,,,,,,,,,,,,,,,
ABS,2013.0,,,,,,,,,,,,,,,,,,,,,,,
